"","I1","I1001","I1002","I1003","I1004","I1005","I1006","I1007","I1008","I1009","I1010","I1011","I1012","I1013","I1014","I1015","I1016","I2","I3","I4","I5","I6"
"ABBA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ACFR",5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
"ACGI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
"ACNE",2,2,0,7,0,2,2,0,0,13,2,0,0,1,0,1,9,0,2,0,0,11
"ACPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"ACPL",51,6,14,10,6,19,10,0,0,3,9,6,0,0,0,11,0,10,0,0,0,42
"ACRU",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"ACSA",0,4,0,0,2,9,12,1,0,7,6,2,0,0,0,2,10,0,0,0,0,0
"ACSC",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AEHI",3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
"ALGL",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"AMAR",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AMCA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AMGR",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AMLA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BENI",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"BEPE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CAAB",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CEOC",0,0,2,0,0,0,2,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0
"CGPU",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNRU",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTSP",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"ELAN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EUAL",6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"EUEU",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAGR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"FRPE",3,0,0,1,0,1,0,0,0,0,3,0,0,1,0,1,1,1,2,67,0,8
"GIBI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"GLTR",2,0,0,0,1,3,0,0,0,4,12,0,3,0,6,4,0,0,0,8,0,8
"GYDI",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"JNCO",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"JNVI",0,0,2,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"JUNI",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"LOXY",0,0,1,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MABA",0,0,2,6,0,1,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0
"MASS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"MASY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"MCAM",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"MGSO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"MOAL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PIAB",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIEN",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIGL",10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"PIPU",15,3,2,3,0,1,1,0,0,0,0,0,0,0,0,2,5,0,1,0,0,6
"PIRU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNNI",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"PNRE",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"PNST",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"PNSY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PODE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"PONI",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"PRAV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"PRCE",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRDO",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"PRPA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRPE",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRSE",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PRVI",6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"PYCO",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QUBI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"QUMA",6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
"QURU",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8
"RHCA",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHTY",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROPS",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RSWO",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUTY",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SADI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOAU",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYRE",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYVU",0,0,3,7,3,0,0,0,0,1,0,6,0,0,0,1,1,3,0,0,0,3
"TACA",19,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THOC",25,1,1,1,10,1,13,0,6,70,30,0,5,0,0,0,0,8,7,0,0,2
"TIAM",0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"TICO",8,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,6,0,0,0,0
"TITO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ULAM",0,6,1,3,0,2,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1
"ULFR",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ULHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"ULPU",1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,4,0,0,0,4,20
"ULRU",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIOP",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
